KB/s in,KB/s out,KB/s in,KB/s out
5714.10,139.66,5890.51,198.38
5510.56,134.68,6243.50,210.32
5350.68,130.83,6174.13,207.98
4776.15,116.85,6113.16,205.93
3496.31,85.61,6106.48,205.75
3705.33,90.73,6166.87,207.76
3599.65,88.10,6420.63,216.28
3628.28,88.90,6299.45,212.15
3531.65,86.48,6385.98,215.12
3663.52,89.75,6351.04,213.97
4778.71,116.88,5956.97,200.74
5960.24,146.10,2247.44,75.71
11066.39,272.62,0.00,0.00
11829.46,289.13,0.00,0.00
11779.41,287.87,0.00,0.00
11832.48,289.17,0.00,0.00
11599.13,283.47,0.00,0.00
11422.95,279.12,0.00,0.00
11466.28,280.26,0.00,0.00
11480.28,280.56,0.00,0.00
11436.79,279.50,0.00,0.00
11425.29,279.18,0.00,0.00
11345.58,277.32,0.00,0.00
9536.94,233.25,0.00,0.00
38.85,1.27,0.32,0.78
9642.15,237.01,0.00,0.25
11372.28,278.31,0.00,0.27
11283.13,277.06,0.00,0.60
10954.63,268.72,445.56,17.57
6682.13,170.99,4900.85,165.89
6061.21,148.38,5691.83,192.44
5507.61,134.71,6000.12,202.37
5588.60,136.61,6182.27,208.60
5770.60,141.03,6031.96,203.24
5766.57,140.93,6100.24,205.44
6299.83,154.03,5589.55,188.60
5815.26,142.08,5960.09,200.72
5550.12,135.67,6118.50,206.11
5824.45,142.27,5839.20,196.70
5843.67,142.97,5833.19,196.49
5953.84,145.50,5834.27,196.71
4291.45,104.96,5842.62,196.99
0.07,0.18,5978.35,201.95
0.00,0.00,6062.09,204.53
0.00,0.00,5946.45,200.31
0.00,0.00,5281.82,178.08
0.00,0.00,0.14,0.21
0.00,0.00,1.15,1.35
0.00,0.00,0.00,0.00
0.58,0.95,0.60,0.00
2.08,5.30,1.75,1.56